"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Mapping from the IMMZ.C4 to the IMMZPatient profile","Mapping: Mapping from the IMMZ.C4 to the IMMZCaregiver (RelatedPerson) profile"
"IMMZC4","IMMZC4","","","",0,*,"","","","null {[]} {[]}
","IMMZ.C4.Create client record","Data elements for the IMMZ.C4.Create client record Data Dictionary Activity.  Identical to IMMZ.C5.3.Update client details.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","Patient"
"IMMZC4.uniqueIdentifier","IMMZC4.uniqueIdentifier","","","",1,1,"","","","string {[]} {[]}
","Unique identifier","Unique identifier for the client, according to the policies applicable to each country. There can be more than one unique identifier used to link records (e.g. national identification [ID], health ID, immunization information system ID, medical record ID)","","","","","","","","","",,,,,"http://smart.who.int/immunizations/CodeSystem/IMMZ.C#DE1
",,,,"IMMZC4.uniqueIdentifier",1,1,"","","Patient.identifier.value"
"IMMZC4.name","IMMZC4.name","","","",1,1,"","","","string {[]} {[]}
","Name","The full name of the client","","","","","","","","","",,,,,"http://smart.who.int/immunizations/CodeSystem/IMMZ.C#DE2
http://loinc.org#54125-0 (Patient name)http://snomed.info/sct#371484003 (Patient name (observable entity))",,,,"IMMZC4.name",1,1,"","IMMZ-C-name-1:Only letters and special characters (period, dash) allowed. {$this.matches('[A-Za-z-.]*')}
","Patient.name.text"
"IMMZC4.firstName","IMMZC4.firstName","","","",0,1,"","","","string {[]} {[]}
","First name","Client's first name or given name","","","","","","","","","",,,,,"http://smart.who.int/immunizations/CodeSystem/IMMZ.C#DE3
http://loinc.org#45392-8 (First name)http://snomed.info/sct#184095009 (Patient forename (observable entity))",,,,"IMMZC4.firstName",0,1,"","IMMZ-C-name-1:Only letters and special characters (period, dash) allowed. {$this.matches('[A-Za-z-.]*')}
","Patient.name.given"
"IMMZC4.familyName","IMMZC4.familyName","","","",0,1,"","","","string {[]} {[]}
","Family name","Client's family name or last name","","","","","","","","","",,,,,"http://smart.who.int/immunizations/CodeSystem/IMMZ.C#DE4
http://loinc.org#45394-4 (Last name)http://snomed.info/sct#184096005 (Patient surname (observable entity))",,,,"IMMZC4.familyName",0,1,"","IMMZ-C-name-1:Only letters and special characters (period, dash) allowed. {$this.matches('[A-Za-z-.]*')}
","Patient.name.family"
"IMMZC4.sex","IMMZC4.sex","","","",1,1,"","","","code {[]} {[]}
","Sex","Documentation of a specific instance of sex information for the client","","","","","","","","","",,"required","","http://smart.who.int/immunizations/ValueSet/IMMZ.C.DE5","http://smart.who.int/immunizations/CodeSystem/IMMZ.C#DE5
http://loinc.org#46098-0 (Sex)http://snomed.info/sct#184100006 (Patient sex (observable entity))",,,,"IMMZC4.sex",1,1,"","","Patient.gender"
"IMMZC4.dateOfBirth","IMMZC4.dateOfBirth","","","",1,1,"","","","string {[]} {[]}
","Date of birth","Client's date of birth (DOB) if known; if unknown, use assigned DOB for administrative purposes","","","","","","","","","",,,,,"http://smart.who.int/immunizations/CodeSystem/IMMZ.C#DE10
http://loinc.org#21112-8 (Birth date)http://snomed.info/sct#184099003 (Date of birth (observable entity))",,,,"IMMZC4.dateOfBirth",1,1,"","","Patient.birthDate"
"IMMZC4.age","IMMZC4.age","","","",0,1,"","","","string {[]} {[]}
","Age","The client's calculated age (presented as number of years, months, weeks, days) based on the DOB and the visit date","","","","","","","","","",,,,,"http://smart.who.int/immunizations/CodeSystem/IMMZ.C#DE13
http://loinc.org#63900-5 (Current age or age at death)",,,,"IMMZC4.age",0,1,"","IMMZ-C-age-1:Required if date of birth is entered. {not(%resource.dateOfBirth.exists()) or $this.exists()}
"
"IMMZC4.caregiversMultiple","IMMZC4.caregiversMultiple","","","",0,*,"","","","BackboneElement {[]} {[]}
","Caregivers (multiple)","Details of the client's caregiver (person) who could be next of kin (e.g. partner, husband, mother, sibling, etc.)","","","","","","","","","",,,,,"http://smart.who.int/immunizations/CodeSystem/IMMZ.C#DE14
http://snomed.info/sct#184140000 (Caregiver details (observable entity))",,,,"IMMZC4.caregiversMultiple",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","RelatedPerson"
"IMMZC4.caregiversMultiple.id","IMMZC4.caregiversMultiple.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"IMMZC4.caregiversMultiple.extension","IMMZC4.caregiversMultiple.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IMMZC4.caregiversMultiple.modifierExtension","IMMZC4.caregiversMultiple.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IMMZC4.caregiversMultiple.caregiversFullName","IMMZC4.caregiversMultiple.caregiversFullName","","","",0,1,"","","","string {[]} {[]}
","Caregiver's full name","The full name of the client's caregiver","","","","","","","","","",,,,,"http://smart.who.int/immunizations/CodeSystem/IMMZ.C#DE15
http://snomed.info/sct#184140000 (Caregiver details (observable entity))",,,,"IMMZC4.caregiversMultiple.caregiversFullName",0,1,"","IMMZ-C-name-1:Only letters and special characters (period, dash) allowed. {$this.matches('[A-Za-z-.]*')}
","RelatedPerson.name.text"
"IMMZC4.caregiversMultiple.caregiversFirstName","IMMZC4.caregiversMultiple.caregiversFirstName","","","",0,1,"","","","string {[]} {[]}
","Caregiver's first name","First or given name of the client's caregiver","","","","","","","","","",,,,,"http://smart.who.int/immunizations/CodeSystem/IMMZ.C#DE16
http://loinc.org#45392-8 (First name)",,,,"IMMZC4.caregiversMultiple.caregiversFirstName",0,1,"","IMMZ-C-name-1:Only letters and special characters (period, dash) allowed. {$this.matches('[A-Za-z-.]*')}
","RelatedPerson.name.given"
"IMMZC4.caregiversMultiple.caregiversFamilyName","IMMZC4.caregiversMultiple.caregiversFamilyName","","","",0,1,"","","","string {[]} {[]}
","Caregiver's family name","Family name or last name of the client's caregiver","","","","","","","","","",,,,,"http://smart.who.int/immunizations/CodeSystem/IMMZ.C#DE17
http://loinc.org#45394-4 (Last name)",,,,"IMMZC4.caregiversMultiple.caregiversFamilyName",0,1,"","IMMZ-C-name-1:Only letters and special characters (period, dash) allowed. {$this.matches('[A-Za-z-.]*')}
","RelatedPerson.name.family"
"IMMZC4.contactPhoneNumber","IMMZC4.contactPhoneNumber","","","",1,1,"","","","string {[]} {[]}
","Contact phone number","Client's phone number; can be a landline or a mobile phone number","","","","","","","","","",,,,,"http://smart.who.int/immunizations/CodeSystem/IMMZ.C#DE18
http://loinc.org#42077-8 (Patient Phone number)http://snomed.info/sct#184103008 (Patient telephone number (observable entity))",,,,"IMMZC4.contactPhoneNumber",1,1,"","","Patient.telecom.value"
"IMMZC4.address","IMMZC4.address","","","",1,1,"","","","string {[]} {[]}
","Address","Client's home address or address that the client is consenting to disclose","","","","","","","","","",,,,,"http://smart.who.int/immunizations/CodeSystem/IMMZ.C#DE19
http://loinc.org#56799-0 (Address)http://snomed.info/sct#184097001 (Patient address (observable entity))",,,,"IMMZC4.address",1,1,"","","Patient.address.text"
